symbol,date,dividends
DVN,2014-06-11,0.24
DVN,2014-09-10,0.24
DVN,2014-12-10,0.24
DVN,2015-03-11,0.24
DVN,2015-06-11,0.24
DVN,2015-09-11,0.24
DVN,2015-12-11,0.24
DVN,2016-03-11,0.24
DVN,2016-06-13,0.06
DVN,2016-09-13,0.06
DVN,2016-12-13,0.06
DVN,2017-03-13,0.06
DVN,2017-06-13,0.06
DVN,2017-09-14,0.06
DVN,2017-12-14,0.06
DVN,2018-03-14,0.06
DVN,2018-06-14,0.08
DVN,2018-09-13,0.08
DVN,2018-12-13,0.08
DVN,2019-03-14,0.08
DVN,2019-06-13,0.09
DVN,2019-09-12,0.09
DVN,2019-12-12,0.09
DVN,2020-03-12,0.09
DVN,2020-06-12,0.11
DVN,2020-08-13,0.26
DVN,2020-09-11,0.11
DVN,2020-12-10,0.11
DVN,2021-03-12,0.3
DVN,2021-06-11,0.34
DVN,2021-09-10,0.49
DVN,2021-12-09,0.84
DVN,2022-03-11,1.0
DVN,2022-06-10,1.27
DVN,2022-09-09,1.55
DVN,2022-12-09,1.35
DVN,2023-03-14,0.89
DVN,2023-06-14,0.72
DVN,2023-09-14,0.49
DVN,2023-12-14,0.77
