symbol,date,dividends
EPD,2014-04-28,0.355
EPD,2014-07-29,0.36
EPD,2014-10-29,0.365
EPD,2015-01-28,0.37
EPD,2015-04-28,0.375
EPD,2015-07-29,0.38
EPD,2015-10-28,0.385
EPD,2016-01-27,0.39
EPD,2016-04-27,0.395
EPD,2016-07-27,0.4
EPD,2016-10-27,0.405
EPD,2017-01-27,0.41
EPD,2017-04-26,0.415
EPD,2017-07-27,0.42
EPD,2017-10-30,0.423
EPD,2018-01-30,0.425
EPD,2018-04-27,0.428
EPD,2018-07-30,0.43
EPD,2018-10-30,0.433
EPD,2019-01-30,0.435
EPD,2019-04-29,0.438
EPD,2019-07-30,0.44
EPD,2019-10-30,0.443
EPD,2020-01-30,0.445
EPD,2020-04-29,0.445
EPD,2020-07-30,0.445
EPD,2020-10-29,0.445
EPD,2021-01-28,0.45
EPD,2021-04-29,0.45
EPD,2021-07-29,0.45
EPD,2021-10-28,0.45
EPD,2022-01-28,0.465
EPD,2022-04-28,0.465
EPD,2022-07-28,0.475
EPD,2022-10-28,0.475
EPD,2023-01-30,0.49
EPD,2023-04-27,0.49
EPD,2023-07-28,0.5
EPD,2023-10-30,0.5
EPD,2024-01-30,0.515
