symbol,date,dividends
PFE,2014-05-07,0.246679
PFE,2014-07-30,0.246679
PFE,2014-11-05,0.246679
PFE,2015-02-04,0.265655
PFE,2015-05-06,0.265655
PFE,2015-08-05,0.265655
PFE,2015-11-04,0.265655
PFE,2016-02-03,0.28463
PFE,2016-05-11,0.28463
PFE,2016-08-03,0.28463
PFE,2016-11-08,0.28463
PFE,2017-02-01,0.303605
PFE,2017-05-10,0.303605
PFE,2017-08-02,0.303605
PFE,2017-11-09,0.303605
PFE,2018-02-01,0.322581
PFE,2018-05-10,0.322581
PFE,2018-08-02,0.322581
PFE,2018-11-08,0.322581
PFE,2019-01-31,0.341556
PFE,2019-05-09,0.341556
PFE,2019-08-01,0.341556
PFE,2019-11-07,0.341556
PFE,2020-01-30,0.360531
PFE,2020-05-07,0.360531
PFE,2020-07-30,0.360531
PFE,2020-11-05,0.360531
PFE,2021-01-28,0.39
PFE,2021-05-06,0.39
PFE,2021-07-29,0.39
PFE,2021-11-04,0.39
PFE,2022-01-27,0.4
PFE,2022-05-12,0.4
PFE,2022-07-28,0.4
PFE,2022-11-03,0.4
PFE,2023-01-26,0.41
PFE,2023-05-11,0.41
PFE,2023-07-27,0.41
PFE,2023-11-09,0.41
PFE,2024-01-25,0.42
