symbol,date,dividends
VYM,2014-03-24,0.401
VYM,2014-06-23,0.476
VYM,2014-09-22,0.469
VYM,2014-12-18,0.562
VYM,2015-03-23,0.462
VYM,2015-06-26,0.56
VYM,2015-09-23,0.528
VYM,2015-12-21,0.599
VYM,2016-03-15,0.478
VYM,2016-06-21,0.578
VYM,2016-09-13,0.483
VYM,2016-12-22,0.667
VYM,2017-03-22,0.56
VYM,2017-06-23,0.596
VYM,2017-09-20,0.602
VYM,2017-12-21,0.643
VYM,2018-03-26,0.608
VYM,2018-06-22,0.63
VYM,2018-09-26,0.672
VYM,2018-12-24,0.739
VYM,2019-03-25,0.652
VYM,2019-06-17,0.625
VYM,2019-09-24,0.786
VYM,2019-12-23,0.779
VYM,2020-03-10,0.554
VYM,2020-06-22,0.837
VYM,2020-09-21,0.705
VYM,2020-12-21,0.81
VYM,2021-03-22,0.656
VYM,2021-06-21,0.752
VYM,2021-09-20,0.749
VYM,2021-12-20,0.939
VYM,2022-03-21,0.662
VYM,2022-06-21,0.848
VYM,2022-09-19,0.767
VYM,2022-12-19,0.975
VYM,2023-03-20,0.717
VYM,2023-06-20,0.877
VYM,2023-09-18,0.785
VYM,2023-12-18,1.1
