symbol,date,dividends
ARCC,2014-06-12,0.38
ARCC,2014-09-11,0.38
ARCC,2014-12-11,0.38
ARCC,2015-03-11,0.43
ARCC,2015-06-11,0.38
ARCC,2015-09-11,0.38
ARCC,2015-12-11,0.38
ARCC,2016-03-11,0.38
ARCC,2016-06-13,0.38
ARCC,2016-09-13,0.38
ARCC,2016-12-13,0.38
ARCC,2017-03-13,0.38
ARCC,2017-06-13,0.38
ARCC,2017-09-14,0.38
ARCC,2017-12-14,0.38
ARCC,2018-03-14,0.38
ARCC,2018-06-14,0.38
ARCC,2018-09-13,0.39
ARCC,2018-12-13,0.39
ARCC,2019-03-14,0.42
ARCC,2019-06-13,0.42
ARCC,2019-09-13,0.42
ARCC,2019-12-13,0.42
ARCC,2020-03-13,0.4
ARCC,2020-06-12,0.4
ARCC,2020-09-14,0.4
ARCC,2020-12-14,0.4
ARCC,2021-03-12,0.4
ARCC,2021-06-14,0.4
ARCC,2021-09-14,0.41
ARCC,2021-12-14,0.41
ARCC,2022-03-14,0.45
ARCC,2022-06-14,0.45
ARCC,2022-09-14,0.46
ARCC,2022-12-14,0.51
ARCC,2023-03-14,0.48
ARCC,2023-06-14,0.48
ARCC,2023-09-14,0.48
ARCC,2023-12-14,0.48
