symbol,date,dividends
ENB,2014-05-13,0.321
ENB,2014-08-13,0.32
ENB,2014-11-12,0.309
ENB,2015-02-11,0.4
ENB,2015-05-13,0.387
ENB,2015-08-12,0.355
ENB,2015-11-12,0.351
ENB,2016-02-11,0.381
ENB,2016-05-12,0.412
ENB,2016-08-11,0.406
ENB,2016-11-10,0.395
ENB,2017-02-13,0.446
ENB,2017-05-11,0.447
ENB,2017-08-11,0.479
ENB,2017-11-14,0.479
ENB,2018-02-14,0.533
ENB,2018-05-14,0.524
ENB,2018-11-14,0.051
ENB,2019-02-14,0.557
ENB,2019-08-14,0.558
ENB,2019-11-14,0.557
ENB,2020-02-13,0.611
ENB,2020-05-14,0.574
ENB,2020-08-13,0.611
ENB,2020-11-12,0.62
ENB,2021-02-11,0.657
ENB,2021-05-13,0.688
ENB,2021-08-12,0.668
ENB,2021-11-12,0.664
ENB,2022-02-14,0.675
ENB,2022-05-12,0.662
ENB,2022-08-12,0.674
ENB,2022-11-14,0.649
ENB,2023-02-14,0.666
ENB,2023-05-12,0.658
ENB,2023-08-14,0.66
ENB,2023-11-14,0.643
