symbol,date,dividends
ET,2014-05-01,0.1795
ET,2014-07-31,0.19
ET,2014-10-30,0.2075
ET,2015-02-04,0.225
ET,2015-05-06,0.245
ET,2015-08-04,0.265
ET,2015-11-03,0.285
ET,2016-02-04,0.285
ET,2016-05-04,0.285
ET,2016-08-04,0.285
ET,2016-11-03,0.285
ET,2017-02-03,0.285
ET,2017-05-08,0.285
ET,2017-08-03,0.285
ET,2017-11-06,0.295
ET,2018-02-07,0.305
ET,2018-05-04,0.305
ET,2018-08-03,0.305
ET,2018-11-07,0.305
ET,2019-02-07,0.305
ET,2019-05-06,0.305
ET,2019-08-05,0.305
ET,2019-11-04,0.305
ET,2020-02-06,0.305
ET,2020-05-06,0.305
ET,2020-08-06,0.305
ET,2020-11-05,0.153
ET,2021-02-05,0.153
ET,2021-05-10,0.153
ET,2021-08-05,0.153
ET,2021-11-04,0.153
ET,2022-02-07,0.175
ET,2022-05-06,0.2
ET,2022-08-05,0.23
ET,2022-11-03,0.265
ET,2023-02-06,0.305
ET,2023-05-05,0.308
ET,2023-08-11,0.31
ET,2023-10-27,0.313
ET,2024-02-06,0.315
