symbol,date,dividends
MO,2014-03-12,0.48
MO,2014-06-12,0.48
MO,2014-09-11,0.52
MO,2014-12-22,0.52
MO,2015-03-12,0.52
MO,2015-06-11,0.52
MO,2015-09-11,0.565
MO,2015-12-22,0.565
MO,2016-03-11,0.565
MO,2016-06-13,0.565
MO,2016-09-13,0.61
MO,2016-12-20,0.61
MO,2017-03-13,0.61
MO,2017-06-13,0.61
MO,2017-09-14,0.66
MO,2017-12-20,0.66
MO,2018-03-14,0.7
MO,2018-06-14,0.7
MO,2018-09-13,0.8
MO,2018-12-24,0.8
MO,2019-03-22,0.8
MO,2019-06-13,0.8
MO,2019-09-13,0.84
MO,2019-12-24,0.84
MO,2020-03-24,0.84
MO,2020-06-12,0.84
MO,2020-09-14,0.86
MO,2020-12-24,0.86
MO,2021-03-24,0.86
MO,2021-06-14,0.86
MO,2021-09-14,0.9
MO,2021-12-22,0.9
MO,2022-03-24,0.9
MO,2022-06-14,0.9
MO,2022-09-14,0.94
MO,2022-12-21,0.94
MO,2023-03-23,0.94
MO,2023-06-14,0.94
MO,2023-09-14,0.98
MO,2023-12-20,0.98
