symbol,date,dividends
SCHD,2014-03-24,0.248
SCHD,2014-06-23,0.269
SCHD,2014-09-22,0.254
SCHD,2014-12-22,0.275
SCHD,2015-03-23,0.27
SCHD,2015-06-22,0.306
SCHD,2015-09-21,0.299
SCHD,2015-12-21,0.272
SCHD,2016-03-21,0.298
SCHD,2016-06-20,0.317
SCHD,2016-09-19,0.244
SCHD,2016-12-19,0.399
SCHD,2017-03-20,0.326
SCHD,2017-06-19,0.331
SCHD,2017-09-18,0.344
SCHD,2017-12-18,0.345
SCHD,2018-03-16,0.262
SCHD,2018-06-26,0.406
SCHD,2018-09-25,0.367
SCHD,2018-12-12,0.405
SCHD,2019-03-20,0.352
SCHD,2019-06-26,0.421
SCHD,2019-09-25,0.486
SCHD,2019-12-12,0.466
SCHD,2020-03-25,0.442
SCHD,2020-06-24,0.442
SCHD,2020-09-23,0.543
SCHD,2020-12-10,0.602
SCHD,2021-03-24,0.503
SCHD,2021-06-23,0.54
SCHD,2021-09-22,0.587
SCHD,2021-12-08,0.62
SCHD,2022-03-23,0.518
SCHD,2022-06-22,0.704
SCHD,2022-09-21,0.637
SCHD,2022-12-07,0.703
SCHD,2023-03-22,0.597
SCHD,2023-06-21,0.665
SCHD,2023-09-20,0.655
SCHD,2023-12-06,0.742
