symbol,date,dividends
VZ,2014-04-08,0.53
VZ,2014-07-08,0.53
VZ,2014-10-08,0.55
VZ,2015-01-07,0.55
VZ,2015-04-08,0.55
VZ,2015-07-08,0.55
VZ,2015-10-07,0.565
VZ,2016-01-06,0.565
VZ,2016-04-06,0.565
VZ,2016-07-06,0.565
VZ,2016-10-05,0.578
VZ,2017-01-06,0.578
VZ,2017-04-06,0.578
VZ,2017-07-06,0.578
VZ,2017-10-06,0.59
VZ,2018-01-09,0.59
VZ,2018-04-09,0.59
VZ,2018-07-09,0.59
VZ,2018-10-09,0.603
VZ,2019-01-09,0.603
VZ,2019-04-09,0.603
VZ,2019-07-09,0.603
VZ,2019-10-09,0.615
VZ,2020-01-09,0.615
VZ,2020-04-09,0.615
VZ,2020-07-09,0.615
VZ,2020-10-08,0.628
VZ,2021-01-07,0.628
VZ,2021-04-08,0.628
VZ,2021-07-08,0.628
VZ,2021-10-07,0.64
VZ,2022-01-07,0.64
VZ,2022-04-07,0.64
VZ,2022-07-07,0.64
VZ,2022-10-06,0.653
VZ,2023-01-09,0.653
VZ,2023-04-06,0.653
VZ,2023-07-07,0.653
VZ,2023-10-06,0.665
VZ,2024-01-09,0.665
